               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.022802,            0.015222,            0.008765,             0.87597,             0.94152,             0.93958,             0.66729,            0.014923,           0.0067854,           0.0033176,           0.0066947,           0.0066947,           0.0066947
                  58,            0.023538,            0.014878,           0.0083255,             0.93711,             0.93555,             0.97293,             0.69051,            0.014888,           0.0065425,           0.0035275,           0.0066509,           0.0066509,           0.0066509
                  59,            0.022806,            0.014637,           0.0081579,             0.88221,             0.97307,             0.95021,             0.68708,            0.015025,            0.006427,            0.003132,           0.0066065,           0.0066065,           0.0066065
                  60,             0.02191,            0.015025,           0.0083727,              0.9078,             0.94747,             0.96777,             0.70112,            0.014771,           0.0064024,           0.0027732,           0.0065615,           0.0065615,           0.0065615
                  61,            0.022314,             0.01472,           0.0080229,             0.92355,             0.95584,             0.98614,             0.72723,            0.014144,           0.0065333,           0.0031432,            0.006516,            0.006516,            0.006516
                  62,            0.022691,            0.014784,           0.0078703,             0.90198,             0.96375,             0.97117,               0.722,            0.014071,           0.0064304,           0.0030755,             0.00647,             0.00647,             0.00647
                  63,            0.021756,            0.014368,           0.0082743,             0.95481,             0.91012,             0.97691,              0.7061,            0.015316,           0.0064873,           0.0040423,           0.0064235,           0.0064235,           0.0064235
                  64,            0.021709,            0.014492,           0.0083844,             0.83776,             0.91854,             0.93612,              0.6686,            0.014775,            0.006364,           0.0042134,           0.0063765,           0.0063765,           0.0063765
                  65,            0.022941,            0.014615,           0.0077875,             0.91226,             0.94445,             0.97825,             0.71098,            0.014129,           0.0064633,            0.003032,            0.006329,            0.006329,            0.006329
                  66,            0.022193,            0.014636,           0.0077021,             0.91694,             0.96001,             0.97502,             0.70452,            0.014395,           0.0063577,           0.0027245,            0.006281,            0.006281,            0.006281
                  67,            0.021908,            0.014112,           0.0074162,             0.88768,             0.95781,             0.96678,             0.71413,             0.01496,           0.0063633,           0.0030008,           0.0062325,           0.0062325,           0.0062325
                  68,            0.021282,            0.014358,           0.0076283,             0.91685,             0.95085,               0.975,             0.72747,            0.013643,           0.0062359,           0.0028819,           0.0061837,           0.0061837,           0.0061837
                  69,             0.02122,             0.01424,           0.0076906,             0.94823,             0.95728,             0.99219,             0.73357,            0.014358,           0.0062441,           0.0026075,           0.0061343,           0.0061343,           0.0061343
                  70,            0.021635,            0.014534,           0.0072583,             0.91523,             0.96525,             0.97324,             0.71168,             0.01395,           0.0062865,           0.0024233,           0.0060845,           0.0060845,           0.0060845
